Source Name	Material Type	Characteristics[Organism]	Characteristics[CellLine]	Characteristics[DiseaseState]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[CELL_LINE]
8505C	cell	Homo sapiens	8505C	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 11	P-MTAB-22739	Labeled Extract 11	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 11	A-AFFY-113	5500024034290101707049.D01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	8505C
8-MG-BA	cell	Homo sapiens	8-MG-BA	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 12	P-MTAB-22739	Labeled Extract 12	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 12	A-AFFY-113	5500024032848101507998.F02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	8-MG-BA
A101D	cell	Homo sapiens	A101D	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 13	P-MTAB-22739	Labeled Extract 13	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 13	A-AFFY-113	5500024032848101507998.E03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A101D
A172	cell	Homo sapiens	A172	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 14	P-MTAB-22739	Labeled Extract 14	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 14	A-AFFY-113	5500024032848101507998.H02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A172
A204	cell	Homo sapiens	A204	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 15	P-MTAB-22739	Labeled Extract 15	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 15	A-AFFY-113	5500024032848101507998.C03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A204
A2058	cell	Homo sapiens	A2058	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 16	P-MTAB-22739	Labeled Extract 16	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 16	A-AFFY-113	5500024052861011409506.E06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A2058
A253	cell	Homo sapiens	A253	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 17	P-MTAB-22739	Labeled Extract 17	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 17	A-AFFY-113	5500024035100021608461.H08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A253
A2780	cell	Homo sapiens	A2780	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 18	P-MTAB-22739	Labeled Extract 18	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 18	A-AFFY-113	5500024052861011409506.H04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A2780
A375	cell	Homo sapiens	A375	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 19	P-MTAB-22739	Labeled Extract 19	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 19	A-AFFY-113	5500024052861011409506.H06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A375
A3-KAW	cell	Homo sapiens	A3-KAW	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 20	P-MTAB-22739	Labeled Extract 20	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 20	A-AFFY-113	5500024032848101507998.G02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A3-KAW
A427	cell	Homo sapiens	A427	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 21	P-MTAB-22739	Labeled Extract 21	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 21	A-AFFY-113	5500024032848101507000.E02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A427
A431	cell	Homo sapiens	A431	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 22	P-MTAB-22739	Labeled Extract 22	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 22	A-AFFY-113	5500024034290101707049.E01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A431
A498	cell	Homo sapiens	A498	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 23	P-MTAB-22739	Labeled Extract 23	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 23	A-AFFY-113	5500024052603032009483.F03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A498
A4-Fuk	cell	Homo sapiens	A4-Fuk	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 24	P-MTAB-22739	Labeled Extract 24	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 24	A-AFFY-113	5500024032848101507000.A10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A4-Fuk
A549	cell	Homo sapiens	A549	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 25	P-MTAB-22739	Labeled Extract 25	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 25	A-AFFY-113	5500024052861011409506.D01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A549
A673	cell	Homo sapiens	A673	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 26	P-MTAB-22739	Labeled Extract 26	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 26	A-AFFY-113	5500024032848101507998.A03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A673
A704	cell	Homo sapiens	A704	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 27	P-MTAB-22739	Labeled Extract 27	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 27	A-AFFY-113	5500024030401071707289.G12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A704
A704	cell	Homo sapiens	A704	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 28	P-MTAB-22739	Labeled Extract 28	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 28	A-AFFY-113	5500024052861011409506.C11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	A704
ABC-1	cell	Homo sapiens	ABC-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 29	P-MTAB-22739	Labeled Extract 29	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 29	A-AFFY-113	5500024052861011409506.D06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ABC-1
ACHN	cell	Homo sapiens	ACHN	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 30	P-MTAB-22739	Labeled Extract 30	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 30	A-AFFY-113	5500024052861011409506.A02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ACHN
ACN	cell	Homo sapiens	ACN	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 31	P-MTAB-22739	Labeled Extract 31	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 31	A-AFFY-113	5500024030401071707289.F02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ACN
AGS	cell	Homo sapiens	AGS	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 32	P-MTAB-22739	Labeled Extract 32	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 32	A-AFFY-113	5500024034290101707049.F01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AGS
AGS	cell	Homo sapiens	AGS	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 33	P-MTAB-22739	Labeled Extract 33	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 33	A-AFFY-113	5500024052861011409506.G10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AGS
ALL-PO	cell	Homo sapiens	ALL-PO	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 34	P-MTAB-22739	Labeled Extract 34	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 34	A-AFFY-113	5500024032848101507998.D03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ALL-PO
AM-38	cell	Homo sapiens	AM-38	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 35	P-MTAB-22739	Labeled Extract 35	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 35	A-AFFY-113	5500024032848101507998.B03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AM-38
AML-193	cell	Homo sapiens	AML-193	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 36	P-MTAB-22739	Labeled Extract 36	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 36	A-AFFY-113	5500024034290101707049.G01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AML-193
AN3-CA	cell	Homo sapiens	AN3-CA	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 37	P-MTAB-22739	Labeled Extract 37	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 37	A-AFFY-113	5500024032848101507000.D02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AN3-CA
ARH-77	cell	Homo sapiens	ARH-77	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 38	P-MTAB-22739	Labeled Extract 38	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 38	A-AFFY-113	5500024052861011409506.C06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ARH-77
AsPC-1	cell	Homo sapiens	AsPC-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 39	P-MTAB-22739	Labeled Extract 39	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 39	A-AFFY-113	5500024032848101507000.C02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	AsPC-1
ATN-1	cell	Homo sapiens	ATN-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 40	P-MTAB-22739	Labeled Extract 40	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 40	A-AFFY-113	5500024032848101507000.B02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	ATN-1
B2-17	cell	Homo sapiens	B2-17	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 41	P-MTAB-22739	Labeled Extract 41	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 41	A-AFFY-113	5500024032848101507998.B04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	B2-17
BALL-1	cell	Homo sapiens	BALL-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 42	P-MTAB-22739	Labeled Extract 42	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 42	A-AFFY-113	5500024032848101507998.F03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BALL-1
BB30-HNC	cell	Homo sapiens	BB30-HNC	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 43	P-MTAB-22739	Labeled Extract 43	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 43	A-AFFY-113	5500024035100021608461.A02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BB30-HNC
BB49-HNC	cell	Homo sapiens	BB49-HNC	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 44	P-MTAB-22739	Labeled Extract 44	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 44	A-AFFY-113	5500024035100021608461.B02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BB49-HNC
BB65-RCC	cell	Homo sapiens	BB65-RCC	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 45	P-MTAB-22739	Labeled Extract 45	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 45	A-AFFY-113	5500024035100021608461.C02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BB65-RCC
BC-1	cell	Homo sapiens	BC-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 46	P-MTAB-22739	Labeled Extract 46	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 46	A-AFFY-113	5500024032848101507998.G03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BC-1
BC-3	cell	Homo sapiens	BC-3	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 47	P-MTAB-22739	Labeled Extract 47	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 47	A-AFFY-113	5500024052861011409506.H08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BC-3
BCPAP	cell	Homo sapiens	BCPAP	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 48	P-MTAB-22739	Labeled Extract 48	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 48	A-AFFY-113	5500024034290101707049.H01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BCPAP
BE-13	cell	Homo sapiens	BE-13	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 49	P-MTAB-22739	Labeled Extract 49	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 49	A-AFFY-113	5500024052603032009483.C05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BE-13
Becker	cell	Homo sapiens	Becker	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 50	P-MTAB-22739	Labeled Extract 50	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 50	A-AFFY-113	5500024052603032009483.E01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	Becker
Becker	cell	Homo sapiens	Becker	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 51	P-MTAB-22739	Labeled Extract 51	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 51	A-AFFY-113	5500024052861011409506.A06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	Becker
BEN	cell	Homo sapiens	BEN	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 52	P-MTAB-22739	Labeled Extract 52	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 52	A-AFFY-113	5500024032848101507998.C04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BEN
BFTC-905	cell	Homo sapiens	BFTC-905	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 53	P-MTAB-22739	Labeled Extract 53	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 53	A-AFFY-113	5500024035100021608461.B12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BFTC-905
BFTC-905	cell	Homo sapiens	BFTC-905	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 54	P-MTAB-22739	Labeled Extract 54	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 54	A-AFFY-113	5500024052603032009483.E12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BFTC-905
BFTC-909	cell	Homo sapiens	BFTC-909	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 55	P-MTAB-22739	Labeled Extract 55	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 55	A-AFFY-113	5500024032848101507998.H03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BFTC-909
BHT-101	cell	Homo sapiens	BHT-101	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 56	P-MTAB-22739	Labeled Extract 56	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 56	A-AFFY-113	5500024035100021608461.D09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BHT-101
BHY	cell	Homo sapiens	BHY	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 57	P-MTAB-22739	Labeled Extract 57	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 57	A-AFFY-113	5500024034290101707049.A02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BHY
BL-41	cell	Homo sapiens	BL-41	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 58	P-MTAB-22739	Labeled Extract 58	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 58	A-AFFY-113	5500024032848101507998.D04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BL-41
BL-41	cell	Homo sapiens	BL-41	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 59	P-MTAB-22739	Labeled Extract 59	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 59	A-AFFY-113	5500024052861011409506.A09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BL-41
BL-70	cell	Homo sapiens	BL-70	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 60	P-MTAB-22739	Labeled Extract 60	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 60	A-AFFY-113	5500024032848101507998.D06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BL-70
BOKU	cell	Homo sapiens	BOKU	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 61	P-MTAB-22739	Labeled Extract 61	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 61	A-AFFY-113	5500024034290101707049.B02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BOKU
BONNA-12	cell	Homo sapiens	BONNA-12	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 62	P-MTAB-22739	Labeled Extract 62	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 62	A-AFFY-113	5500024030401071707289.F01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BONNA-12
BPH-1	cell	Homo sapiens	BPH-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 63	P-MTAB-22739	Labeled Extract 63	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 63	A-AFFY-113	5500024034290101707049.C02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BPH-1
BT-20	cell	Homo sapiens	BT-20	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 64	P-MTAB-22739	Labeled Extract 64	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 64	A-AFFY-113	5500024034290101707049.D02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	BT-20
